"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"Eurasia Interunivers  Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12661369-Reviews-Eurasia_Interunivers_Hostel-Yerevan.html",NA,NA,"Yerevan","Yerevan","Azatutyan ave 2","0037",8,NA,0,0,0,0,0,0,0,0,0,0,"[]","Hotels.com","1","0","0","0","0","0","0"
"Evmari Hotel","https://www.tripadvisor.com//Hotel_Review-g2708780-d6160322-Reviews-Evmari_Hotel-Jermuk_Vayots_Dzor_Province.html",29167,60,"Vayots Dzor Province","Jermuk","Shahumyan Str 3","3701",3,"B&Bs / Inns in Jermuk",7,10,2,4.5,1,1,0,0,0,0,"{'Russian': 2, 'English': 0}","Booking.com","1","0","0","0","0","0","1"
"Extreme Excite Hostel And Travel","https://www.tripadvisor.com//Hotel_Review-g293932-d15053095-Reviews-Extreme_Excite_Hostel_And_Travel-Yerevan.html",12990,27,"Yerevan","Yerevan","Pushkina str. 21","0010",2,"Specialty Lodging in Yerevan",73,300,2,5,1,0,0,0,0,0,"{'English': 1, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"Familia","https://www.tripadvisor.com//Hotel_Review-g293932-d12616581-Reviews-Familia-Yerevan.html",12000,25,"Yerevan","Yerevan","Sepuhi 29","0028",1,"B&Bs / Inns in Yerevan",60,144,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","1","0","1","0","0","0","0"
"Family & Friends","https://www.tripadvisor.com//Hotel_Review-g1160895-d10822293-Reviews-Family_Friends-Dilijan_Tavush_Province.html",18333,38,"Tavush Province","Dilijan","Andranik 1-st Lane 7","3901",31,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Family Guest House","https://www.tripadvisor.com//Hotel_Review-g815351-d14832612-Reviews-Family_Guest_House-Alaverdi_Lori_Province.html",20583,42,"Lori Province","Alaverdi","Sanahin Kayaran 38","7104",5,"B&Bs / Inns in Alaverdi",6,14,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","0","0","0","0","0","0","0"
"Family Hotel Nigatun","https://www.tripadvisor.com//Hotel_Review-g293932-d10681844-Reviews-Family_Hotel_Nigatun-Yerevan.html",11490,24,"Yerevan","Yerevan","Admiral Isakov Street 333/1","0082",8,"Specialty Lodging in Yerevan",95,300,3,3.5,0,2,1,0,0,0,"{'English': 3}","Booking.com","1","0","1","0","0","0","0"
"Family Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2442938-Reviews-Family_Hotel-Yerevan.html",22881,47,"Yerevan","Yerevan","Buzanda St., 49/1","10",10,"B&Bs / Inns in Yerevan",19,144,25,4.5,7,6,1,0,1,0,"{'Russian': 13, 'English': 8, 'Spanish': 2}","Booking.com","1","0","0","0","0","0","1"
"Family House Jermuk","https://www.tripadvisor.com//Hotel_Review-g2708780-d11621794-Reviews-Family_House_Jermuk-Jermuk_Vayots_Dzor_Province.html",7990,16,"Vayots Dzor Province","Jermuk","Shahumyan Street 20","3701",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Family Rest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d12545625-Reviews-Family_Rest_House-Dilijan_Tavush_Province.html",23333,48,"Tavush Province","Dilijan","Kamoi Street 73","3902",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Expedia.com","0","0","0","0","0","0","0"
