"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Akhtamar Hotel","Booking.com","AMD 25,250","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d2307118-Reviews-Akhtamar_Hotel-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hayoc Ojax","Expedia.com","AMD 26,174","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15039227-Reviews-Hayoc_Ojax-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Gladzor Resort","Booking.com","AMD 6,658","2 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d10305517-Reviews-Gladzor_Resort-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Maria Resort","Hotels.com",NA,"7 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d3199422-Reviews-Maria_Resort-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Berloga DEN","Hotels.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15389376-Reviews-Berloga_DEN-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Gagari Mot","Booking.com","AMD 40,833","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15511147-Reviews-Gagari_Mot-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Gagari Mot Hotel and Restaurant","Booking.com","AMD 22,500","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15416117-Reviews-Gagari_Mot_Hotel_and_Restaurant-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Voyage Rest House","Agoda.com","AMD 28,088","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15054304-Reviews-Voyage_Rest_House-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"B&B Iris","Booking.com","AMD 9,167","182 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d2310214-Reviews-B_B_Iris-Alaverdi_Lori_Province.html"
"B&B Odzun","Expedia.com","AMD 95,869","25 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d8465888-Reviews-B_B_Odzun-Odzun_Alaverdi_Lori_Province.html"
"Sanahin Bridge Hotel","Booking.com","AMD 11,658","8 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d14190016-Reviews-Sanahin_Bridge_Hotel-Alaverdi_Lori_Province.html"
"Parisis B&B in Alaverdi","Agoda.com","AMD 39,771","9 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d11963001-Reviews-Parisis_B_B_in_Alaverdi-Alaverdi_Lori_Province.html"
"Odzun Hotel","Booking.com","AMD 15,000","17 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d4414716-Reviews-Odzun_Hotel-Odzun_Alaverdi_Lori_Province.html"
"Mini House Hostel","Booking.com","AMD 12,600","6 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d12847883-Reviews-Mini_House_Hostel-Alaverdi_Lori_Province.html"
"Lalvar","Booking.com","AMD 23,990","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d7057819-Reviews-Lalvar-Alaverdi_Lori_Province.html"
"Palma","Booking.com","AMD 29,167","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d14912965-Reviews-Palma-Alaverdi_Lori_Province.html"
"Em&Ri Guest House in Odzun","Booking.com","AMD 14,583","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d15064685-Reviews-Em_Ri_Guest_House_in_Odzun-Odzun_Alaverdi_Lori_Province.html"
"Family Guest House","Booking.com","AMD 20,583","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d14832612-Reviews-Family_Guest_House-Alaverdi_Lori_Province.html"
"Old City Hotel","Booking.com","AMD 10,850","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d14915032-Reviews-Old_City_Hotel-Alaverdi_Lori_Province.html"
"Elen B&B","Booking.com","AMD 22,158","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d7974574-Reviews-Elen_B_B-Alaverdi_Lori_Province.html"
"Agasu Tun","Booking.com","AMD 29,167","3 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d8618166-Reviews-Agasu_Tun-Odzun_Alaverdi_Lori_Province.html"
"Aoife Guest House","Booking.com","AMD 23,333","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d13159270-Reviews-Aoife_Guest_House-Odzun_Alaverdi_Lori_Province.html"
"Arma","Booking.com","AMD 22,881","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d15246304-Reviews-Arma-Odzun_Alaverdi_Lori_Province.html"
"ArmBee Honey Farm","Booking.com","AMD 28,050","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d15098464-Reviews-ArmBee_Honey_Farm-Alaverdi_Lori_Province.html"
"Guest House in Alaverdi","Booking.com","AMD 40,833","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d10753046-Reviews-Guest_House_in_Alaverdi-Alaverdi_Lori_Province.html"
