"name","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Link","Price_AMD","Price_USD"
"Hostel de Maria","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12536159-Reviews-Hostel_de_Maria-Yerevan.html",8992,19
"Hostel Golden Trip","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15221280-Reviews-Hostel_Golden_Trip-Yerevan.html",13990,29
"Hostel in Yerevan","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14888373-Reviews-Hostel_in_Yerevan-Yerevan.html",4942,10
"Hostel Jaguar","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16746062-Reviews-Hostel_Jaguar-Yerevan.html",6990,14
"Hostel Magnolia","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15190076-Reviews-Hostel_Magnolia-Yerevan.html",10825,22
"Hotel Enjoy","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12428417-Reviews-Hotel_Enjoy-Yerevan.html",12492,26
"Hotel King","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10451796-Reviews-Hotel_King-Yerevan.html",14992,31
"Inga Hotel Yerevan","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15219439-Reviews-Inga_Hotel_Yerevan-Yerevan.html",14992,31
"Kamurj Apart Hotel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11768914-Reviews-Kamurj_Apart_Hotel-Yerevan.html",26242,54
"Karinitas Family Hostel","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10891048-Reviews-Karinitas_Family_Hostel-Yerevan.html",6658,14
"Karson Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16720613-Reviews-Karson_Apartments-Yerevan.html",20000,41
"KAV Guest House","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16707999-Reviews-KAV_Guest_House-Yerevan.html",9992,21
"Kond guest house","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14905575-Reviews-Kond_guest_house-Yerevan.html",12492,26
"Little Manila Hostel & Tours","Booking.com",0,"1","1","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11981746-Reviews-Little_Manila_Hostel_Tours-Yerevan.html",14158,29
"Lotus Hostel","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16812966-Reviews-Lotus_Hostel-Yerevan.html",16944,35
"Lovely Hotel","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16858972-Reviews-Lovely_Hotel-Yerevan.html",10000,21
"Luxe Proshyan Str","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10630717-Reviews-Luxe_Proshyan_Str-Yerevan.html",66490,137
"Midnight","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15584691-Reviews-Midnight-Yerevan.html",9091,19
"Mirage Guest House","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15226237-Reviews-Mirage_Guest_House-Yerevan.html",6250,13
"Motel Eforea","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9463268-Reviews-Motel_Eforea-Yerevan.html",62337,129
